,,,,,,,which_in_the_blowing_problems_apply?,,,,,,,,
n104,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Relatively stable and stretched sound
n104,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Relatively stable tone and volume
n104,S06,2,1,2,1,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Crisp sound
n104,S06,2,2,2,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Poor pitch
n104,S09,3,2,2,2,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Although it is relatively stable, I think it would be nice to be able to create a space so that the sound resounds in the oral cavity."
n105,S02,4,4,4,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,I felt it was a beautiful sound.
n105,S02,4,4,4,4,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"I felt a little shaking of the sound, but it was clear and beautiful overall."
n105,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"The core of the breath is solid, so if you breathe more air and blow it, there will be improvements."
n105,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,It's blowing with a good sound
n105,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Good sound with a core
n105,S08,4,3,3,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,The first attack is strong with sound
n106,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Relatively stable sound
n107,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,It was a solid tone.
n107,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"At first, my breath was too strong, but as a whole, a clear and good sound"
n107,S07,3,2,4,3,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,There are signs that will become a better sound if you practice.
n108,S01,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,The sound was too high.
n108,S04,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,-
n108,S06,4,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1 octave expensive
n108,S10,1,1,1,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,The sound is one octave. I'm too focused on breathing. The qualities are good.
n109,S06,3,3,2,3,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,There is room for improving vibrato
n110,S02,4,4,4,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Stable and clear sound
n110,S02,4,4,4,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Stable and clear sound
n110,S03,3,3,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-
n110,S04,3,3,3,3,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-
n110,S06,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Improve if you attach vibrato
n110,S06,3,3,3,3,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"It's okay, it's even better to stabilize the pitch"
n110,S11,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Finally, the sound shakes a little."
n111,S03,5,5,5,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-
n112,S01,4,4,4,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,It would be nice if the attack was a little more beautiful. The sound is often heard.
n112,S09,3,3,4,4,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"I don't know if the breath is ""too much"", but I thought that if the air could be released a little more in front, there would be a space in the oral cavity and the sound would be a little richer."
n112,S10,4,4,4,4,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,The direction of breath is slightly lower. Perhaps the space in the mouth or the throat is too open.
n113,S02,3,3,3,3,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I was a little worried about the shaking of the sound.
n113,S06,3,3,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Relatively stable
n113,S09,3,2,4,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"There was nothing that I thought was true in the above problem list. It is so sharp that the sound is cut, so it would be nice if the sound could disappear while attenuating the sound a little with the sound of the sound."
n114,S02,2,2,2,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,It ’s faint and the sound is not properly out
n114,S04,2,2,2,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I think that the lips can be a little more powerful because the amount of breath is too large.
n115,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Not beautiful sound
n116,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,It was a little bit clear and not clear.
n117,S03,1,1,1,1,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-
n118,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,I'm worried about the sound of my breath.
n118,S06,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Poor pitch
n118,S06,2,2,2,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Bad angle is bad
n119,S02,2,2,2,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I could hear the sound of my breath and was not beautiful.
n119,S03,3,3,3,4,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-
n119,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"If you strengthen long tone practice, it will be better than now"
n120,S05,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"The pitch can be heard quite a bit, so I guess the mouth is strong."
n120,S06,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Corresponding sound
n121,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,The tone was not beautiful.
n121,S06,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Poor pitch
n121,S10,2,1,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,The pitch is high. The sound is crushed. I feel like the ambush is working hard.
n122,S03,1,1,1,2,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,-
n122,S06,2,2,2,2,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,The sound has changed on the way.
n122,S06,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,The sound is about to turn over
n122,S06,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Unstable sound
n122,S08,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,I feel the power of my mouth
n122,S10,1,1,1,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,The pitch is high. I feel that the head tube is outward or the right way of holding it is not possible. Breath is not straight. I'm shaking.
n123,S02,2,2,2,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,unstable
n123,S02,2,2,2,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"The sound is bad, and the overall impression is unstable."
n123,S02,2,2,2,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Unstable and weak sound
n123,S06,2,2,2,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,The momentum of breath is not constant
n123,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"If you breathe a lot and put it in the singing mouth, it will be better"
n124,S02,2,2,2,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,It is faint and has a lot of breath.
n124,S03,2,2,1,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-
n124,S05,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,I can hear the sound.
n124,S06,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The direction of the sound is not constant
n124,S06,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,I need improvement in the direction of breath
n125,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Weak and thin sound
n125,S06,3,3,3,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Improve by attaching vibrato
n125,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"The sound is stable, so if there is enough blowing, it will improve."
n125,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,stable
n126,S01,2,2,2,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,It would be nice to be able to control exhalation and support the abs.
n127,S01,2,2,2,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The mouth is narrow and the sound is heard.
n127,S02,2,2,2,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Weak and biting sounds
n127,S04,2,2,2,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-
n127,S05,2,2,2,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Since the speed is not kept constant, the pitch drops at the end"
n127,S06,2,3,2,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,It is important to breathe in the singing mouth firmly
n127,S06,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Rising sound
n128,S02,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Kumotsu noise
n128,S07,3,2,3,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,There is no core in the sound.
n128,S10,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I was scattered and I didn't vomit straight. Sound without a core.
n129,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Relatively stable sound
n129,S06,2,2,3,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The sound is beautiful but good
n129,S06,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,There is no feature and tasteless and odorless sound.
n129,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,OK good sound
n130,S05,2,2,2,2,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,I felt like I was blowing with a weak breath. I think you need a slightly thinner breath by defining the target.
n130,S06,3,3,2,2,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,The pitch is lower at the end of the sound
n131,S01,3,3,3,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The unstable sound of the sound is not enough to support the abs. It is good to lower the diaphragm firmly and breathe firmly.
n131,S02,2,2,2,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"The sound is muffled, not clear. weak."
n131,S11,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Impression that is short and not smoked.
n132,S08,2,2,2,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The power and breath of the lips are not organized
n133,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"The sound is not clear, not beautiful."
n133,S06,2,2,2,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The sound is rising
n133,S08,2,2,3,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I felt that the sound was too expanded
n134,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A little filled sound
n134,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Not enough growth.
n134,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Short, but if you breathe in, it will improve"
n134,S07,3,2,4,3,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,You should not change the shape of your mouth when blowing.
n135,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Stable clear sound
n135,S05,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,The sound is high.
n135,S06,2,2,2,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"If you breathe firmly and then blow it, it will be improved"
n135,S06,3,2,2,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"The start is not clear, but the sound is generally good"
n135,S11,3,2,2,2,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Impression that I use a little breath.
n136,S02,2,2,2,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,The sound of the beginning was not beautiful.
n136,S06,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,It will be better if you breathe
n136,S09,1,1,2,2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,The rising sound was two stages. The time when the tongue tongue is behind the gums has been too long since I started to breathe. I didn't know the stability of pitch and volume.
n137,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Sound growth is not enough.
n137,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,The sound is chopped
n137,S03,3,3,4,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-
n137,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,OK
n138,S06,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Difficult to judge because it is short
n138,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Short but not bad if it blows it firmly
n138,S10,4,4,4,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"It is a thick sound with a little too much throat, but it is generally good."
n139,S02,2,2,2,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I was worried that the sound was cut.
n139,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Sound growth is not enough.
n139,S02,2,2,2,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A little filled sound
n139,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,The sound is not so clear and the growth is not enough.
n139,S06,2,2,2,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,It is important to inhale firmly
n139,S08,2,3,3,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Regarding how to cut the sound. I got the impression that the sound has stopped with the tongue
n139,S10,5,5,5,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,The sound is the most mellow and good
n140,S02,3,3,3,3,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not enough graceful
n140,S02,3,2,3,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,The sound is chopped and it doesn't sound beautifully.
n140,S04,3,3,3,3,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-
n140,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,The sound is short but beautiful
n141,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Relatively stable sound
n141,S03,2,2,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-
n141,S04,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Since the pitch was not determined, it was a little strong and a little breathtaking was needed? I thought."
n141,S08,4,4,4,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,I was worried about the decline in the last pitch
n142,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The sound is unstable.
n142,S06,3,3,3,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"The sound quality is good, but the sound processing is rough"
n142,S06,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"The quality of the sound is not bad, but the way of blowing is rough"
n142,S11,3,3,3,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"There is a glossy sound for a moment, but something is missing."
n143,S06,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Unpleasant sound
n144,S04,3,3,3,3,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-
n144,S06,3,3,2,2,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,The sound is beautiful but the pitch is bad
n145,S02,4,4,4,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,It was a stable sound overall.
n145,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,I was worried about the sound of my breath.
n146,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"I was a little worried that my breath was too strong, but it was a clear and beautiful sound."
n146,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"At first, my breath is too strong."
n146,S05,4,3,4,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,I was worried that the last sound was crushed.
n146,S06,2,2,2,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Blown inner
n146,S06,3,3,3,3,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"The pitch is a little low, but the sound is not bad"
n146,S07,3,2,3,3,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,The recording environment is bad. There are signs that a good sound will make a good sound if the pitch matches.
n147,S02,4,4,4,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Stable and solid tone
n147,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"The first sound is too strong, but the overall sound is stable."
n147,S02,4,4,4,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Beautiful sound with sound
n147,S10,4,4,4,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"From the third second, my breath has not stretched straight and the sound is shaking. Recognize that it is a performance level that does not exhale for a long breath."
n147,S11,4,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The phrase of the song seems to be blown because it is relatively stable.
n148,S02,2,2,2,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I'm a little worried about shaking
n148,S02,3,3,3,3,3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,I feel shaking in the sound.
n148,S06,3,3,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,It is better to breathe a lot and blow
n148,S06,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,You can just take a breathtaking angle
n148,S06,2,2,2,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Beginner to intermediate level
n149,S01,3,3,3,3,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,It is good to make the mouth wider and make it more sound from the soft palate to the top of the head.
n149,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,The sound wasn't very beautiful
n149,S02,2,2,2,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Full and faint sounds
n149,S11,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Somewhat high pitch.
bm200,S01,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The control of the exhalation is unstable.
bm200,S05,3,3,3,3,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"The long tone was beautiful. I didn't have enough core, so I thought it would be better to determine the amount of breath, speed and target."
bm200,S06,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Poor pitch
bm200,S07,3,3,4,3,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,The quality of the sound is good. Other pitches are required.
bm201,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,It will be a good sound to breathe more
bm202,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The sound dropped from the middle.
bm202,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"The sound was not clear, not beautiful."
bm202,S07,2,2,3,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,You should be conscious of maintaining your breath straight.
bm202,S09,2,2,2,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Finally, the pitch was down. I hope that the rising sound of tanging will be clearer."
bm203,S01,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Since the embouchure has not been made yet, it is good to look in the mirror and practice while being aware of the right shape."
bm203,S02,1,1,1,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Out of the question, I haven't grasped how to make sounds yet."
bm203,S11,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Impression that I tried to blow for the first time in a trial lesson.
bm204,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,There was a strange sound at the beginning and end.
bm204,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,OK
bm205,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Relatively stable sound
bm205,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Relatively stable
bm205,S11,3,3,4,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,It feels like a brass band can be used unless it is a powerful school.
bm207,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The sound is weak and unstable.
bm207,S02,2,2,2,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A weak and faint sound.
